customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure
0002-ORFBO,Female,0,Yes,Yes,1,1,1,Mailed check,65.6,593.3,No,9.04
0003-MKNFE,Male,0,No,No,2,1,0,Mailed check,59.9,542.4,No,9.06
0004-TLHLJ,Male,0,No,No,1,2,0,Electronic check,73.9,280.85,Yes,3.80
0011-IGKFF,Male,1,Yes,No,1,2,0,Electronic check,98,1237.85,Yes,12.63
0013-EXCHZ,Female,1,Yes,No,1,2,0,Mailed check,83.9,267.4,Yes,3.19
0013-MHZWF,Female,0,No,Yes,1,1,0,Credit card (automatic),69.4,571.45,No,8.23
0013-SMEOE,Female,1,Yes,No,1,2,2,Bank transfer (automatic),109.7,7904.25,No,72.05
0014-BMAQU,Male,0,Yes,No,2,2,2,Credit card (automatic),84.65,5377.8,No,63.53
0015-UOCOJ,Female,1,No,No,1,1,0,Electronic check,48.2,340.35,No,7.06
0016-QLJIS,Female,0,Yes,Yes,2,1,2,Mailed check,90.45,5957.9,No,65.87
0017-DINOC,Male,0,No,No,0,1,2,Credit card (automatic),45.2,2460.55,No,54.44
0017-IUDMW,Female,0,Yes,Yes,2,2,2,Credit card (automatic),116.8,8456.75,No,72.40
0018-NYROU,Female,0,Yes,No,1,2,0,Electronic check,68.95,351.5,No,5.10
0019-EFAEP,Female,0,No,No,2,2,2,Bank transfer (automatic),101.3,7261.25,No,71.68
0019-GFNTW,Female,0,No,No,0,1,2,Bank transfer (automatic),45.05,2560.1,No,56.83
0020-INWCK,Female,0,Yes,Yes,2,2,2,Credit card (automatic),95.75,6849.4,No,71.53
0020-JDNXP,Female,0,Yes,Yes,0,1,1,Mailed check,61.25,1993.2,No,32.54
0021-IKXGC,Female,1,No,No,2,2,0,Electronic check,72.1,72.1,No,1.00
0022-TCJCI,Male,1,No,No,1,1,1,Credit card (automatic),62.7,2791.5,Yes,44.52
0023-HGHWL,Male,1,No,No,0,1,0,Electronic check,25.1,25.1,Yes,1.00
0023-UYUPN,Female,1,Yes,No,2,0,1,Electronic check,25.2,1306.3,No,51.84
0023-XUOPT,Female,0,Yes,No,2,2,0,Electronic check,94.1,1215.6,Yes,12.92
0027-KWYKW,Female,0,Yes,Yes,2,2,0,Electronic check,83.75,1849.95,No,22.09
0030-FNXPP,Female,0,No,No,1,0,0,Mailed check,19.85,57.2,No,2.88
